"MED_ID","MED_NAME","GENRE","STOCK","PRICE_PIECE"
"523","Combivir","Vitamins","232","13.89"
"525","Compazine","Antidiarrheals","2","134.33"
"527","Comtan","Cytotoxics","238","30.34"
"529","Concerta","Antifungals","118","59.39"
"531","Copegus","Antianxiety Drug","70","85.74"
"533","Coreg","Decongestants","207","8.68"
"535","Corgard","Muscle Relaxants","62","127.37"
"537","Cortaid","Sleeping Drugs","63","82.2"
"539","Cortenema","Laxatives","75","120.87"
"541","Cortone","Antineoplastics","52","106.55"
"543","Corvert","Hormones","48","114.08"
"545","Cosmegen","Antianxiety Drug","8","67.92"
"547","Cosyntropin","Analgesics","113","94.48"
"549","Covera-HS","Cytotoxics","134","41.5"
"551","Creon","Antiarrhythmics","228","129.06"
"553","Crixivan","Bronchodilators","183","18.79"
"555","Crolom","Antidepressants","28","8.95"
"557","Cubicin","Antifungals","84","62.44"
"559","Curosurf","Antifungals","123","128.04"
"561","Cyanocobalamin","Antineoplastics","135","5.8"
"563","Cyclessa","Antiarrhythmics","53","100.92"
"565","Cycloset","Sleeping Drugs","41","95.39"
"567","Cyklokapron","Hypoglycemics","144","63.57"
"569","Cymbalta","Sedatives","65","130.24"
"571","Cystadane","Sleeping Drugs","15","79.67"
"573","Cysview","Sedatives","170","112.35"
"575","Cytarabine","Cold Cures","214","20.56"
"577","Cytomel","Antianxiety Drug","203","128.29"
"581","Dacarbazine","Antipsychotics","105","60.91"
"583","Dacogen","Laxatives","67","25.1"
"585","Dalmane","Sleeping Drugs","188","14.15"
"587","Danazol","Anticonvulsants","234","93.29"
"589","Daptacel","Antianxiety Drug","138","74.01"
"591","Darbepoetin Alfa","Muscle Relaxants","128","98.4"
"593","Darvocet-N","Antihistamines","149","88.19"
"595","Darvon Compound","Analgesics","142","45.1"
"597","Daunorubicin","Hypoglycemics","67","28.38"
"599","Daypro Alta","Antipyretics","50","63.24"
"601","DDAVP","Vitamins","34","105.31"
"603","DDAVP Rhinal Tube","Antiemetics","88","48.13"
"605","Declomycin","Hypoglycemics","73","21.6"
"607","Deferoxamine","Expectorant","79","63.14"
"609","Dehydrated Alcohol","Cytotoxics","46","109.43"
"611","Delestrogen","Antiemetics","225","56.05"
"613","Demadex","Muscle Relaxants","33","106.8"
"615","Demerol","Vitamins","115","46.17"
"617","Demulen","Antineoplastics","25","78.53"
"619","Depacon","Antidepressants","80","19.23"
"621","Depakote","Antiarrhythmics","49","11.47"
"623","Depo-Estradiol","Antipsychotics","122","60.84"
"625","Depo-Testosterone","Hypoglycemics","219","32.55"
"627","DepoDur","Diuretics","150","52.42"
"629","Desferal","Anticonvulsants","121","14.81"
"631","Desloratadine","Antiemetics","137","130.86"
"633","Desonate","Anticonvulsants","247","92.24"
"635","Desoximetasone","Expectorant","171","111.44"
"637","Desyrel","Antivirals","203","49.58"
"639","Detrol LA","Antihistamines","71","52.44"
"641","Dexedrine","Cold Cures","226","83.34"
"643","Dexilant","Hormones","61","68.27"
"645","Dexrazoxane","Antipyretics","128","17.22"
"647","Dht","Antihypertensives","1","95.04"
"649","Diabinese","Antivirals","60","78.92"
"651","Diastat","Beta-Blockers","189","45.31"
"653","Dibenzyline","Vitamins","176","77.24"
"655","Dicloxacillin","Antipyretics","157","20.87"
"657","Didanosine","Expectorant","5","4.34"
"659","Didronel","Antacids","202","68.56"
"661","Diethylpropion","Muscle Relaxants","28","57.06"
"663","Differin","Expectorant","217","122.79"
"665","Diflunisal","Beta-Blockers","116","55.76"
"667","Digitek","Cold Cures","157","82.73"
