"SERVICE_ID","CATEGORY","SERVICE_NAME","SERVICE_DESC","COST","DEPARTMENT"
"2","TEST","Blood count","Blood count, laboratory test that determines the number of red blood cells (erythrocytes) and white blood cells (leukocytes) in a given volume of blood.","300",
"4","TEST","Bone marrow aspiration","Bone marrow aspiration, direct removal of a small amount (about 1â€“5 millilitres) of bone marrow by suction through a hollow needle. ","3000",
"6","TEST","Glucose tolerance test","Glucose tolerance test, procedure to assess the ability of the body to metabolize glucose, the principal type of sugar found in the blood.","500",
"9","TEST","Kidney function test","Kidney function test, any clinical and laboratory procedure designed to evaluate various aspects of renal (kidney) capacity and efficiency and to aid in the diagnosis of kidney disorders.","2500",
"11","TEST","Pap smear","Pap smear, also called Papanicolaou smear, laboratory method of obtaining secretions from the cervix for the examination of cast-off epithelial cells to detect the presence of cancer.","8000",
"13","TEST","Syphilis test","Syphilis test, any of several laboratory procedures for the detection of syphilis.","2000",
"15","TEST","Urinalysis","Urinalysis, laboratory examination of a sample of urine to obtain clinical information.","300",
"17","TEST","Cerebral angiography","Cerebral angiography, X-ray examination of intracranial blood vessels after injection of radiopaque dye into the neck (carotid) artery. ","2000",
"19","TEST","Magnetoencephalography","Magnetoencephalography (MEG), imaging technique that measures the weak magnetic fields emitted by neurons.","3000",
"21","TEST","Echocardiography","Echocardiography, diagnostic technique that uses ultrasound (high-frequency sound waves) to produce an image of the internal structures of the heart.","1500",
"23","TEST","Lung ventilation","Lung ventilation/perfusion scan, also called pulmonary ventilation/perfusion scan or VQ (ventilation quotient) scan, in medicine, a test that measures both air flow (ventilation) and blood flow (perfusion) in the lungs.","2200",
"25","TEST","Functional magnetic imaging","Functional magnetic resonance imaging (fMRI), neuroimaging technique used in biomedical research and in diagnosis that detects changes in blood flow in the brain.","3600",
"27","TEST","Mammography","Mammography, medical procedure employing X-ray technology to detect lesions in the breast that may be indicative of breast cancer.","1800",
"29","TEST","Ultrasound","Ultrasound, also called ultrasonography, in medicine, the use of high-frequency sound (ultrasonic) waves to produce images of structures within the human body.","1200",
"31","TEST","Complementation test","Complementation test, also called cis-trans test, in genetics, test for determining whether two mutations associated with a specific phenotype represent two different forms of the same gene (alleles) or are variations of two different genes.","6000",
"33","TEST","Electrocardiography","Electrocardiography, method of graphic tracing (electrocardiogram; ECG or EKG) of the electric current generated by the heart muscle during a heartbeat.","800",
"35","TEST","Pulmonary function test","Pulmonary function test, procedure used to measure various aspects of the working capacity and efficiency of the lungs and to aid in the diagnosis of pulmonary disease.","600",
"37","TEST","Endoscopy","Endoscopy, medical examination of the interior of the body, usually through a natural body opening, by the insertion of a flexible, lighted optical shaft or open tube.","1700",
"39","TEST","Gynecological examination","Gynecological examination, procedures aimed at assessing the health of a womanâ€™s reproductive system. ","1500",
"41","SURGERY","Heart Bypass Surgery"," A surgeon takes blood vessels from another part of your body to go around, or bypass, a blocked artery. The result is that more blood and oxygen can flow to your heart again.","30000","Cardiology"
"43","SURGERY","Heart Valve Repair","Diseased heart valves can be treated both surgically (traditional heart valve surgery) and non-surgically (balloon valvuloplasty).","25000","Cardiology"
"45","SURGERY","Trans-myocardial Revascularization","Trans-myocardial revascularization is a procedure used in people with severe heart disease who are not candidates for bypass surgery. In this procedure, an incision is made in the chest. The heart is exposed and small holes are drilled through the wall of the heart with a laser.","45000","Cardiology"
"48","SURGERY","Electromyography (EMG)","Your muscles move when nerve signals from the brain tell them to get to work. Electromyography measures how well your muscles respond to those signals.","10000","Neurology"
"50","SURGERY","Laser Surgery for Glaucoma (ALT)","Glaucoma is pressure inside your eye, like a basketball being overinflated. Fluid in your eye canâ€™t drain out the way it should. This can damage the optic nerve inside your eye and harm your vision","48000","Ophthalmology"
"52","SURGERY","Osteotomy","An osteotomy is any surgery that cuts and reshapes your bones.","42000","Orthopedic"
"54","SURGERY","Kidney Transplant","When your kidneys arenâ€™t working the way they should, waste and extra fluids build up in your body. Dialysis is one way to treat this problem, but you could also choose to have a kidney transplant. This could give you more freedom with your daily schedule. It may also give you more energy and help you feel better. And, survival rates are higher after a kidney transplant.","80000","Nephrology"
